YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.6428928	0.6751757	0.7630465	0.3602864	0.8129730	0.6325104	0.4881139	0.0120175	0.4351280	0.3381014	0.7225274	0.5509753	0.6575061	0.6185918	0.0259329	0.7113637	0.4212226	0.4356203	0.8482302	0.8263314	0.0984314	0.8738161	0.7477875	0.6659335	0.7352419	0.0060417	0.2841331	0.2480382	0.6980027	0.4712697	0.6154622	0.6941951	0.6373351	0.5055356	0.4844978	0.2628435	0.4431087	0.1446595	0.7459010	0.2596330	0.2437870	0.0463348	0.1641573	0.4234444	0.5632445	0.1462631	0.7704498	0.2612473	0.3397956	0.4790328
0.5085704	0.7831809	0.7548764	0.3656539	0.8290656	0.5997740	0.4946561	0.0085530	0.4577598	0.4724381	0.8002925	0.5490232	0.6649972	0.4705016	0.0461172	0.7787044	0.3321147	0.6127174	0.7977516	0.8228976	0.1626889	0.7916499	0.6786220	0.7709232	0.6987326	0.0073788	0.3068336	0.4781715	0.4040620	0.4610300	0.7607015	0.5515484	0.6164069	0.4656227	0.6262292	0.2633789	0.4983298	0.1090962	0.7307310	0.2868385	0.1823148	0.0333154	0.1936182	0.4235986	0.4334837	0.1190076	0.6241391	0.2404652	0.3955277	0.4217752
0.4705126	0.8308708	0.5849370	0.4525751	0.7234394	0.4767348	0.4689993	0.0155046	0.4884496	0.4071097	0.8689273	0.4848242	0.5909036	0.4294835	0.0246741	0.6810120	0.3780027	0.4773866	0.8215990	0.7055760	0.2170281	0.6879034	0.6967627	0.7729279	0.8630062	0.0229982	0.2135849	0.5016752	0.7090436	0.2803851	0.6572215	0.7385965	0.5797168	0.3232687	0.4995966	0.2982761	0.4142477	0.0869276	0.7396991	0.3077382	0.2901524	0.0393478	0.2259603	0.4239061	0.7125590	0.1185852	0.5931441	0.3441584	0.3119732	0.4898219
0.4976002	0.7575045	0.7161521	0.4366741	0.8334815	0.4451129	0.3996790	0.0152211	0.3590460	0.3896177	0.7171726	0.5470445	0.7202736	0.6886993	0.0264929	0.6284383	0.3576608	0.4091912	0.7595410	0.8048085	0.1204911	0.7091966	0.8358620	0.7454862	0.8957190	0.0207538	0.2966445	0.4530737	0.6560254	0.5243367	0.3409819	0.6473404	0.6448857	0.6098070	0.5709791	0.4668412	0.2736892	0.1981265	0.7080210	0.3169615	0.2391409	0.0293852	0.1616662	0.4592343	0.5925995	0.1748732	0.6466583	0.2921544	0.2601913	0.2548086
0.4180840	0.7529455	0.7879358	0.3228028	0.6313300	0.4477983	0.5119488	0.0092149	0.3139857	0.6249836	0.8872228	0.4782019	0.7249422	0.6273323	0.0366031	0.8702300	0.5013553	0.4571142	0.7560704	0.7084230	0.1468170	0.6746724	0.5912094	0.6704921	0.7146848	0.0252774	0.2692425	0.4750969	0.7310446	0.4064955	0.6800575	0.3628788	0.6673952	0.5079348	0.6696561	0.2069684	0.5172847	0.1498493	0.7252195	0.3119801	0.1838348	0.0511978	0.1892412	0.3648051	0.5550576	0.1569342	0.5796823	0.3364291	0.3612471	0.4487989
0.5587495	0.8011330	0.7909992	0.3674536	0.7599170	0.4782147	0.4623549	0.0095332	0.5294181	0.3737569	0.7128710	0.5860583	0.8173456	0.3983717	0.0679063	0.8459554	0.4205091	0.5249266	0.6921531	0.7682390	0.1673421	0.6779939	0.7715902	0.7804809	0.7491725	0.0200332	0.3077578	0.3167679	0.7388808	0.4250839	0.7038860	0.5980587	0.3163566	0.4849537	0.6051069	0.1785036	0.4285811	0.2145179	0.7378749	0.2973683	0.1964296	0.0307855	0.1955814	0.4891886	0.5185799	0.1467620	0.6818018	0.3111108	0.3337373	0.3378275
0.4572411	0.6607367	0.9516270	0.4249080	0.6125818	0.5769710	0.4802585	0.0089527	0.6374253	0.4351998	0.7009691	0.5615766	0.6855646	0.5497780	0.0884283	0.7765665	0.3512568	0.5435028	0.8104271	0.8482153	0.1498617	0.7613734	0.6818334	0.7600154	0.7072413	0.0356193	0.2744923	0.4646840	0.8617748	0.4874093	0.7799698	0.6976040	0.5876743	0.2932713	0.7339646	0.1789293	0.4056506	0.1437438	0.7652468	0.2572416	0.2054102	0.0101203	0.1581849	0.4229724	0.6354795	0.1145661	0.6716884	0.2785947	0.4414695	0.4423984
0.4701643	0.6144682	0.5868408	0.2356768	0.6885460	0.4886748	0.5333651	0.0147390	0.4607345	0.5049662	0.6700499	0.5006945	0.6825025	0.5011140	0.0772598	0.7575634	0.3540785	0.3571092	0.6331594	0.6748932	0.2338525	0.5989701	0.7420410	0.6504226	0.8927767	0.0307224	0.2514696	0.4900563	0.7691939	0.5604381	0.7172346	0.6553400	0.6738384	0.5015104	0.3332294	0.2920815	0.4050106	0.1403591	0.8056465	0.2204468	0.2415793	0.0408420	0.2292652	0.4584764	0.5753135	0.1489998	0.6791176	0.2238614	0.2955389	0.5993234
0.4112042	0.7461234	0.7200785	0.3862282	0.5998677	0.4970805	0.5047861	0.0025729	0.4832624	0.4698288	0.5790437	0.5266837	0.8001699	0.5863956	0.0502898	0.6665570	0.3853845	0.4817085	0.6996780	0.8520272	0.2332203	0.6287678	0.7738986	0.8577369	0.7031780	0.0079155	0.2547389	0.3344225	0.7327514	0.4417389	0.8559880	0.7893187	0.6852980	0.5271071	0.4921104	0.1272752	0.4011249	0.1635912	0.8023596	0.2739053	0.2393175	0.0262249	0.2018411	0.4775316	0.6610363	0.1280293	0.6242119	0.2651419	0.3761719	0.4466592
0.5323086	0.7792481	0.7160171	0.4412036	0.7741179	0.6553099	0.6001604	0.0070899	0.6248612	0.4165350	0.8003884	0.4906216	0.7205776	0.5076814	0.0158508	0.6354848	0.3078837	0.5065465	0.6694118	0.7345901	0.1694871	0.6618352	0.6309386	0.6387541	0.6741157	0.0443928	0.3217125	0.5086799	0.6779680	0.4282378	0.6839127	0.5981975	0.5838117	0.4658385	0.5076644	0.1655803	0.2112691	0.1597077	0.9415496	0.2346231	0.2415581	0.0319242	0.1434306	0.4197752	0.5830590	0.1353541	0.8069217	0.2669120	0.5421841	0.5316743
