YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.4708665	0.6218784	0.7457498	0.3358472	0.6190357	0.5994530	0.3643942	0.0001057	0.5182104	0.3817884	0.5192073	0.3028737	0.8519399	0.4818537	0.0095788	0.6738401	0.6892190	0.5393164	0.7750216	0.6355927	0.0898404	0.7401192	0.7139262	0.6191152	0.7565899	0.0180695	0.2529623	0.6009818	0.6487391	0.5935818	0.6519695	0.5145264	0.5832423	0.3894044	0.7184511	0.6670981	0.4466416	0.0943993	0.5723196	0.3414745	0.0459284	0.0120634	0.0412733	0.4379731	0.4812937	0.1543384	0.8092799	0.3455264	0.2763180	0.3693865
0.6855883	0.6014165	0.7129684	0.4280330	0.5079021	0.4243014	0.4071596	0.0041084	0.5866434	0.4113329	0.7021497	0.4898072	0.6589283	0.4906162	0.0753730	0.7323888	0.6023192	0.5950283	0.6161053	0.6414294	0.2460461	0.4401062	0.6155227	0.7098525	0.5718262	0.0310548	0.3043258	0.4330715	0.7212151	0.3627781	0.6342266	0.6304399	0.6525698	0.6372042	0.6238437	0.1790676	0.5031716	0.1483080	0.7384265	0.2637321	0.1872801	0.0584430	0.1906006	0.5153875	0.4531756	0.1723744	0.6588075	0.2763347	0.4524292	0.5271534
0.6165067	0.7959058	0.7047261	0.5187674	0.3596448	0.6174771	0.3706625	0.0272346	0.4389795	0.3047775	0.7192623	0.3978924	0.6829341	0.6720157	0.0096673	0.4935301	0.2610691	0.4786976	0.8069723	0.4479680	0.5317076	0.4979368	0.7821122	0.7782027	0.7626677	0.0212712	0.3060118	0.3727925	0.6521593	0.2014587	0.5936090	0.5625129	0.5351175	0.5982807	0.5775440	0.1398627	0.0812692	0.1547678	0.4961649	0.2098577	0.3334285	0.3618368	0.1637659	0.4086018	0.5951079	0.1960921	0.7140103	0.2959648	0.2362352	0.2260098
0.5256773	0.6772077	0.7085572	0.4808157	0.5598947	0.5396713	0.5499258	0.0017021	0.5260086	0.2070048	0.6629812	0.4487813	0.6344145	0.4296345	0.3183752	0.8227266	0.0958341	0.3946319	0.6743190	0.6588449	0.1967139	0.5883885	0.7438107	0.4849234	0.3332386	0.0027641	0.2077930	0.3889059	0.7294557	0.3784188	0.6168153	0.6755673	0.6523265	0.4084947	0.5122692	0.1829482	0.2831646	0.0655603	0.8793324	0.2548570	0.2272592	0.2902228	0.1875478	0.5586987	0.8345773	0.1554649	0.6456565	0.2567878	0.6024941	0.7766121
0.4002757	0.5882403	0.7803344	0.3972640	0.7065483	0.4399713	0.5399539	0.0036962	0.4455383	0.5694057	0.6230271	0.5434271	0.7451490	0.4850835	0.2033291	0.8321300	0.3628812	0.5632491	0.5003338	0.8058497	0.1790879	0.5699861	0.7265855	0.6367440	0.7638143	0.0073263	0.2591797	0.5196574	0.6735452	0.3960534	0.6404991	0.7232163	0.7860766	0.6848785	0.4815037	0.1845247	0.6649301	0.1649166	0.6602554	0.2835646	0.2006555	0.0620245	0.1574030	0.4067055	0.5537978	0.1119227	0.6355887	0.1163255	0.2860857	0.5747676
0.4053015	0.5990548	0.7134141	0.3576286	0.4216991	0.6007025	0.6552749	0.0060108	0.3859413	0.4232164	0.6239432	0.5018069	0.7398098	0.4918794	0.1722331	0.8018787	0.3532187	0.4500367	0.3728648	0.7147158	0.4207463	0.4027279	0.4895976	0.6774157	0.8015497	0.0251180	0.3331511	0.3964559	0.8147190	0.1469364	0.7379566	0.6408309	0.6895885	0.7058210	0.6304783	0.1577211	0.3295932	0.1772407	0.3580919	0.3774265	0.3678111	0.0731956	0.1787349	0.3679369	0.4625004	0.1718985	0.5986411	0.2487681	0.2896386	0.7127936
0.5623440	0.7522065	0.7674545	0.4785868	0.5512836	0.5273841	0.5054180	0.0089449	0.4582789	0.2745630	0.8259274	0.3995286	0.7085595	0.5231122	0.0135779	0.5847578	0.5631072	0.3824334	0.7162656	0.6317356	0.2536106	0.5755168	0.6837347	0.6056043	0.7906849	0.0107145	0.1374753	0.6052376	0.7610340	0.2640020	0.5990848	0.6750494	0.6836752	0.3478150	0.6604940	0.0109208	0.4549641	0.1043667	0.3409939	0.3361785	0.4100004	0.0383906	0.0041441	0.3095802	0.2747080	0.1393027	0.5790757	0.2615237	0.3529504	0.7070399
0.3232951	0.7534237	0.7883096	0.3604870	0.4040150	0.5544435	0.6120209	0.0080827	0.3790855	0.4777567	0.5530084	0.5465894	0.7011441	0.4643535	0.0460978	0.5946940	0.0749250	0.3431927	0.7341724	0.8103311	0.2684950	0.6612148	0.6445439	0.5891354	0.5121155	0.0037621	0.4817817	0.2586776	0.6835658	0.1039581	0.6959476	0.5567721	0.6280722	0.3785858	0.5461591	0.0040120	0.1589702	0.2191371	0.5535487	0.3421264	0.1777460	0.0061937	0.0032557	0.3762542	0.6990546	0.1624844	0.6061760	0.3339191	0.2928874	0.7052133
0.3796297	0.6981728	0.5929042	0.2991774	0.6119788	0.5084935	0.4399566	0.0182799	0.6033414	0.4026595	0.5831533	0.5637587	0.7622739	0.4821564	0.0001415	0.7031471	0.5148504	0.5217772	0.6857493	0.7809282	0.2131442	0.6166005	0.6390209	0.5936745	0.5090776	0.0028945	0.2937169	0.6264105	0.4007766	0.5483171	0.7066207	0.6582974	0.5854741	0.4903982	0.6249547	0.1861202	0.5108695	0.0842493	0.7108116	0.3375179	0.1962365	0.3246312	0.0613603	0.3412882	0.4064819	0.1331135	0.7600159	0.0914264	0.5813170	0.5477839
0.3958726	0.7039902	0.6426531	0.3182077	0.6700910	0.4436814	0.4852539	0.0119641	0.3729230	0.3406328	0.6076469	0.3959573	0.6234285	0.3951101	0.0053402	0.9053772	0.0279149	0.4183580	0.6490963	0.7302590	0.2268722	0.4914724	0.7316608	0.6236912	0.6609326	0.0004751	0.2867470	0.4091193	0.7842456	0.4444708	0.7618014	0.6797412	0.5480148	0.4933092	0.6463903	0.2569101	0.4092019	0.2391971	0.6394724	0.1944826	0.2247718	0.0205951	0.0096605	0.4305024	0.5124393	0.0727065	0.6676495	0.0188785	0.3659482	0.5739001
0.4548579	0.6497575	0.7446727	0.4076272	0.6377581	0.5385949	0.4717558	0.0005166	0.5838764	0.2596057	0.7707383	0.4600866	0.7195155	0.4069948	0.0128318	0.7741569	0.3037424	0.4128727	0.7814156	0.7097077	0.2120732	0.5879822	0.5547362	0.6376402	0.5046057	0.0028168	0.2048883	0.4814165	0.5281736	0.3736828	0.6792735	0.6010664	0.6388627	0.5647667	0.5380072	0.2119127	0.3644197	0.1346660	0.5964087	0.3583356	0.3437983	0.1063380	0.0490963	0.3226890	0.4881968	0.1487715	0.6084112	0.1487879	0.4744295	0.5751272
