YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.7046238	0.9187914	0.9400043	0.4935955	1.0000000	0.8146280	0.5901932	0.0001380	0.7588959	0.5478073	0.6374424	0.4700059	0.9993233	0.6368508	0.0282652	1.0000000	0.7480083	0.8204988	1.0000000	0.8359845	0.1047010	0.9987711	1.0000000	1.0000000	1.0000000	0.0194118	0.3154884	0.7634264	0.8210484	0.7707897	0.9942186	0.9014078	0.7955536	0.6769053	0.9869558	0.8479683	0.5347514	0.1135952	0.8599346	0.3898297	0.0800121	0.0072501	0.0186785	0.5954071	0.6129822	0.1811904	0.9529332	0.4148411	0.3981680	0.4400414
0.7854409	0.9359691	0.9551401	0.6899341	0.8219378	0.6921162	0.5909130	0.0122223	0.7288110	0.5627555	1.0000000	0.6834397	0.9988113	0.6615603	0.1066225	1.0000000	0.8422247	0.6674593	0.8506870	1.0000000	0.2646175	0.6438160	1.0000000	1.0000000	0.7984292	0.0232930	0.3899960	0.7137652	0.9948802	0.5656006	0.9811996	0.9131182	0.8545758	0.9296932	0.7497727	0.3801960	0.6374926	0.1793326	0.9928923	0.3613731	0.2192371	0.0404702	0.2378856	0.6106759	0.7384308	0.2509551	0.9547447	0.4039067	0.6443912	0.4415144
0.8984795	0.9986842	0.9564404	0.5054204	0.4848228	0.7310834	0.5717131	0.0209801	0.6622577	0.3424301	0.9483389	0.4295266	0.9885462	0.7164839	0.0179402	0.7844807	0.4618644	0.6866114	1.0000000	0.5718664	0.6120129	0.5786413	1.0000000	1.0000000	1.0000000	0.0194118	0.3697108	0.3644339	0.9770926	0.2264285	0.9974737	0.8504398	0.8101506	0.9762365	0.7612118	0.2220703	0.1944774	0.1743218	0.5303868	0.2318754	0.5887573	0.3384907	0.2355040	0.6236018	0.9083977	0.2236575	0.9581899	0.4039393	0.4732152	0.3939178
0.6944347	0.9999141	0.9505280	0.6104588	1.0000000	0.7788399	0.8477120	0.0000901	0.7894178	0.3468437	1.0000000	0.7034665	0.9956753	0.6122087	0.3847921	1.0000000	0.2119430	0.5708534	1.0000000	1.0000000	0.2479963	0.9726134	0.9427332	0.7527735	0.6319346	0.0059750	0.3899960	0.5775916	0.9948195	0.6019544	0.9340442	0.8505512	0.8682517	0.5869612	0.7520744	0.2555748	0.5343018	0.1048122	0.9949294	0.3778306	0.2923039	0.3842002	0.2354673	0.6992843	0.9965743	0.1967895	0.9584486	0.3582304	0.7908060	0.8625394
0.5092709	0.9187914	0.9422653	0.6258488	1.0000000	0.6803151	0.7035289	0.0119281	0.5661622	0.6060932	0.9860712	0.6160853	0.9994252	0.7487876	0.2649004	1.0000000	0.4953537	0.5657807	0.6767690	1.0000000	0.2426020	0.8435378	0.9562156	0.8856324	1.0000000	0.0181562	0.3974993	0.8159282	0.9948869	0.5490604	0.9942186	0.8427077	0.7955527	0.9060217	0.7955420	0.3323909	0.7614733	0.2741001	0.9106012	0.4225945	0.2713649	0.0715697	0.2387568	0.5460776	0.6349533	0.2591630	0.9501278	0.1722118	0.4004693	0.7271351
0.5089866	0.9180228	0.9552661	0.5045822	0.5575887	0.7696498	0.8530220	0.0035633	0.5651521	0.5910365	0.7244152	0.6366851	0.9914552	0.7946707	0.2220418	1.0000000	0.4838183	0.7649108	0.6027598	1.0000000	0.6654741	0.5057820	0.6439273	1.0000000	1.0000000	0.0412906	0.4690535	0.4895953	0.9947058	0.1301056	0.9942186	0.9086477	0.8138577	0.9199178	0.8865125	0.2037709	0.4753968	0.3185369	0.2678795	0.4228679	0.4752323	0.0798698	0.2387985	0.4502020	0.4719980	0.2088915	0.9350554	0.3823538	0.4732152	0.8664614
0.7075315	0.9997675	0.9599079	0.5078893	0.7811595	0.8250162	0.7608301	0.0123711	0.6900607	0.3401383	1.0000000	0.5846047	0.9987735	0.6935459	0.0252716	0.9583127	0.8402999	0.5516183	1.0000000	0.8249122	0.4049490	0.8575113	0.9970448	0.7462973	1.0000000	0.0194118	0.2074314	0.7233422	0.9948724	0.3315940	0.9965907	0.9099846	0.8103331	0.6219014	0.8562263	0.0291152	0.5612248	0.1726697	0.5664954	0.3953356	0.4526145	0.0762091	0.0142773	0.4947080	0.3570201	0.1225761	0.9686076	0.3468818	0.4732152	0.7752745
0.5091418	0.9184440	0.9445734	0.4968997	0.6670438	0.7407455	0.8907614	0.0132430	0.5657053	0.6237383	0.7553891	0.6375757	0.9973248	0.7916290	0.0916778	0.7701867	0.1168792	0.4770920	1.0000000	1.0000000	0.4452940	0.7720716	1.0000000	0.8840844	0.6935805	0.0059220	0.5456894	0.4058840	0.9948524	0.1105956	0.9598229	0.8426707	0.8517628	0.5477967	0.8422632	0.0133427	0.3287810	0.3178794	0.8668767	0.4214419	0.3110100	0.0097407	0.0073359	0.5518226	0.9995673	0.2252754	0.9352152	0.3493044	0.4291182	0.9172021
0.5092456	0.9187253	0.9399930	0.4935820	0.8717627	0.7218351	0.6216182	0.0120971	0.6715655	0.4403940	0.9336707	0.7214794	0.9993778	0.5706489	0.0006186	1.0000000	0.6825379	0.7429268	1.0000000	1.0000000	0.3341376	0.9234111	1.0000000	0.6809492	0.7074391	0.0053396	0.4271684	0.7669464	0.5880258	0.4777686	0.9710904	0.8427003	0.7955395	0.5739186	0.8166077	0.3018225	0.5936400	0.1369278	0.9722521	0.4226183	0.2792162	0.5004912	0.1319644	0.4506021	0.6960724	0.2360127	0.9353216	0.1255414	0.7260048	0.6440590
0.5092668	0.9187803	0.9403833	0.4938659	0.9718131	0.6803073	0.7613973	0.0119531	0.6025498	0.4806576	0.8664447	0.5846425	0.9956050	0.5496080	0.0145133	1.0000000	0.0241573	0.6006144	0.9767679	1.0000000	0.2543748	0.6495370	1.0000000	0.9478395	0.9647007	0.0056257	0.4059552	0.5771480	0.8896325	0.6546639	0.9930690	0.9045697	0.7955505	0.7659732	0.8007523	0.3442711	0.5199028	0.2317289	0.9944643	0.2667177	0.2345855	0.0446675	0.0036213	0.6220369	0.7739235	0.1140617	0.9353427	0.0164053	0.5000968	0.8354879
