YKL062W	YCR096C	YOL067C	YGL254W	YMR019W	YBL103C	YKL020C	YJR147W	YCR097W	YDR253C	YCR040W	YGR044C	YPR199C	YOL089C	YIR017C	YCL067C	YOR140W	YDR463W	YPL038W	YJL056C	YDR421W	YKR034W	YNL103W	YDR081C	YHR006W	YLR262C	YIL162W	YFL002WA	YNL014W	YLR180W	YDR375C	YGR271CA	YOR115C	YCR095C	YMR238W	YHR145C	YML065W	YMR228W	YDR078C	YDR101C	YJR044C	YPR168W	YJL188C	YDR098CA	YGR206W	YBR166C	YIL014W	YDR041W	YLR304C	YLR065C
0.1782487	0.0056592	0.6420896	0.6431582	0.3528084	0.7224904	0.7849690	0.7512630	0.5896604	0.7108794	0.1314487	0.4378897	0.6525369	0.6111380	0.6940927	0.7174541	0.1612450	0.4504094	0.6570268	0.8835640	0.7762833	0.6674916	0.6253042	0.3032431	0.8666392	0.3809504	0.0891488	0.2134723	0.2934316	0.6820540	0.2797269	0.1565091	0.3097873	0.2253268	0.6814771	0.2360272	0.5034326	0.1805039	0.4330450	0.2246326	0.0529158	0.1542152	0.5526986	0.1663203	0.7664243	0.2924842	0.5070530	0.6044917	0.4484258	0.6204250
0.0927757	0.0105381	0.6603888	0.7465934	0.2796872	0.6584606	0.6132165	0.6163243	0.5094784	0.8360212	0.3818410	0.5196527	0.8458930	0.6950367	0.6746018	0.7682464	0.2893478	0.5750630	0.5745111	0.7535421	0.7121045	0.6237877	0.6855340	0.7140633	0.2697115	0.3594564	0.0487698	0.1811631	0.3367272	0.6863889	0.2880890	0.1130639	0.3744625	0.3105314	0.6644802	0.2650409	0.4122432	0.1911898	0.3424594	0.4315589	0.0274394	0.1151824	0.5175835	0.2230736	0.6035810	0.3689974	0.2804921	0.4404331	0.5115909	0.5463608
0.1833650	0.0025816	0.6099588	0.7282564	0.3128728	0.6781818	0.6825803	0.7076449	0.5257068	0.8701963	0.2760669	0.5263637	0.5665838	0.7629390	0.7185820	0.8127939	0.2383358	0.6685040	0.7316763	0.6349582	0.6709943	0.6535878	0.6986021	0.7092319	0.5788386	0.2974478	0.0256807	0.1862424	0.2508945	0.6529545	0.3152807	0.1223215	0.3544539	0.2160162	0.6745862	0.2117534	0.5152916	0.1704957	0.4242365	0.1331973	0.0587410	0.2028625	0.5398689	0.1534007	0.7405159	0.3568799	0.3988254	0.5539211	0.4869425	0.6070060
0.1135665	0.0130697	0.7131036	0.7772372	0.3258649	0.7543337	0.6957444	0.6662218	0.4911545	0.7915539	0.1566342	0.5774751	0.5267793	0.6887605	0.8233585	0.7095680	0.2150148	0.5691394	0.6694013	0.7033158	0.7652408	0.8915109	0.7158949	0.7576322	0.5714976	0.4274092	0.0209980	0.1656721	0.2510286	0.8688480	0.2995700	0.1458219	0.3523581	0.2435636	0.7643265	0.2157814	0.4671134	0.1187286	0.2858996	0.1477828	0.0317086	0.1824218	0.5958467	0.1904620	0.5603142	0.3862849	0.3222705	0.6212941	0.5310104	0.6670980
0.1666844	0.0050242	0.7711697	0.7936111	0.2963984	0.6613843	0.6308779	0.6644128	0.4994488	0.7212106	0.1739818	0.4643639	0.5570643	0.7834900	0.6157165	0.8423367	0.2547243	0.5312540	0.6641032	0.7646603	0.7307313	0.6795831	0.7917449	0.5886917	0.6800708	0.4873906	0.0507278	0.0895623	0.2379157	0.7666087	0.2256322	0.1604405	0.3625424	0.2361816	0.7759961	0.1416836	0.5195539	0.1894345	0.3071307	0.1930530	0.0672368	0.1902301	0.5084412	0.1492173	0.6698390	0.2854604	0.2758233	0.5952278	0.3859664	0.8259417
0.1668647	0.0054763	0.6813503	0.7350844	0.3560114	0.6972791	0.6120985	0.6853285	0.5388574	0.6658949	0.1543497	0.5272915	0.7301898	0.6899824	0.8867681	0.7177984	0.2310923	0.4597295	0.7544024	0.7167671	0.8312964	0.8260433	0.6828911	0.6480747	0.6310716	0.4298846	0.0368985	0.1834131	0.1023614	0.7072362	0.2864285	0.1452948	0.2994705	0.3291470	0.6573973	0.2956315	0.4922364	0.2168578	0.3978349	0.1714697	0.0204208	0.1859384	0.4902405	0.2331812	0.6490226	0.3627152	0.3335707	0.5472791	0.4970533	0.6564288
0.1279149	0.0030097	0.7923404	0.7053272	0.2300934	0.6517836	0.6957470	0.6306724	0.4229090	0.7153921	0.1976551	0.4922267	0.6476858	0.6370202	0.7495774	0.7080914	0.2439658	0.5977870	0.6444850	0.6131502	0.7335752	0.7282464	0.6737027	0.6834012	0.6149072	0.5391964	0.0598869	0.1804998	0.1735999	0.3388667	0.3091982	0.1171849	0.3533419	0.1785619	0.6535425	0.2105412	0.6152766	0.1712577	0.3089775	0.1631347	0.0752089	0.1517475	0.6177980	0.1802684	0.7039379	0.3620646	0.2815726	0.4855464	0.5584182	0.6615213
0.1455629	0.0042479	0.6979051	0.7102987	0.2504682	0.6927075	0.6971998	0.6965779	0.4918830	0.6768561	0.1649038	0.5431213	0.7159228	0.7469276	0.7507361	0.6236249	0.1944030	0.5850632	0.6977835	0.7892525	0.6914513	0.6413142	0.7117017	0.7317415	0.7426734	0.4151716	0.0518271	0.0961346	0.2585754	0.7169133	0.2005240	0.1466563	0.3193653	0.2286635	0.6284739	0.1818607	0.3679752	0.1173288	0.3069205	0.2369451	0.0443582	0.1691617	0.6350524	0.1582986	0.6359642	0.3777690	0.2299679	0.4688882	0.5673944	0.7118999
0.1512913	0.0126659	0.6565566	0.6583581	0.2195760	0.7269408	0.7198757	0.7851993	0.5173141	0.6688565	0.2181177	0.4780106	0.6803955	0.7135601	0.7168146	0.6347803	0.2113797	0.6282159	0.6965770	0.7934783	0.7457388	0.6099301	0.6616099	0.9136234	0.6334413	0.4755723	0.0298918	0.1741715	0.2766702	0.6789677	0.3078676	0.0829785	0.2654216	0.1592294	0.6041412	0.2329060	0.4639728	0.1271272	0.3231141	0.2204757	0.0745303	0.1336283	0.5634342	0.2332522	0.6043145	0.3274342	0.3785818	0.5349488	0.4341705	0.6740854
0.1133985	0.0125719	0.5761585	0.6186486	0.3238348	0.5733298	0.6420431	0.7145194	0.4818786	0.7712119	0.1356778	0.4827590	0.8029955	0.7352460	0.7402539	0.6649639	0.2368061	0.6005767	0.6483708	0.6354749	0.6173681	0.7121335	0.6610232	0.7779977	0.7197892	0.4280315	0.0451486	0.1351817	0.2394137	0.8500765	0.2096253	0.0875029	0.2258704	0.1705960	0.7087383	0.1800331	0.4656238	0.1967514	0.2854726	0.1836668	0.0424370	0.1350334	0.4105299	0.2134250	0.6954819	0.3490939	0.3212127	0.4817165	0.5479212	0.6024240
0.1345418	0.0146103	0.8829952	0.6754472	0.3976735	0.6353484	0.6078330	0.8925129	0.4443626	0.7801943	0.1756165	0.4627733	0.7128386	0.8215046	0.6658040	0.5687869	0.2853517	0.5632638	0.5761463	0.7192255	0.6429862	0.7811802	0.5445060	0.6249603	0.7893334	0.4896784	0.0540064	0.1465778	0.2968654	0.8146725	0.3403108	0.1786323	0.3446249	0.1227131	0.6140687	0.2574042	0.4649404	0.1944298	0.2724027	0.1560521	0.0759146	0.1617278	0.5884862	0.2317522	0.6841919	0.2838843	0.3303416	0.4768667	0.4479317	0.6600724
0.1342625	0.0085348	0.6403519	0.6494509	0.3604062	0.7507790	0.8149534	0.7432021	0.5454147	0.8182812	0.1575301	0.4551552	0.9967797	0.6134082	0.6743413	0.7372731	0.1627489	0.5393826	0.8183199	0.6826530	0.6712348	0.8121438	0.6038438	0.7055717	0.6151493	0.3873896	0.0421973	0.1609171	0.2179808	0.7777373	0.2759503	0.1170953	0.3524317	0.2804857	0.3467088	0.2634147	0.3791926	0.0945181	0.4148627	0.1509748	0.0493223	0.1142711	0.6225846	0.2197753	0.7055781	0.3833925	0.3259830	0.5406554	0.4562895	0.6875240
0.0867758	0.0041533	0.7943815	0.6033462	0.3356185	0.7303227	0.6446828	0.5179982	0.4681953	0.7054675	0.1844186	0.6650943	0.7616741	0.6103923	0.6797924	0.5956496	0.1736682	0.6248062	0.8439989	0.5894795	0.8667973	0.7530412	0.6303201	0.8249111	0.7007598	0.4553031	0.0503024	0.2211721	0.2543716	0.6986410	0.2783728	0.1668991	0.3289275	0.1865432	0.8527891	0.0616805	0.5366899	0.1877217	0.2512027	0.1871700	0.0580373	0.1839991	0.5992724	0.2108409	0.6765143	0.3851978	0.2935605	0.4896946	0.4668024	0.6480657
0.1249009	0.0055932	0.6626292	0.5839622	0.3027899	0.8113914	0.7018322	0.6744556	0.5093182	0.5909506	0.1302947	0.4726958	0.7408395	0.7556189	0.7706687	0.5612393	0.1835638	0.5551861	0.6483179	0.7224858	0.7052649	0.6845843	0.7623358	0.7792917	0.6926150	0.5258704	0.0690582	0.1267469	0.2206084	0.6667811	0.1833063	0.1730278	0.3336837	0.1910211	0.7697245	0.1901110	0.2387456	0.1582435	0.3352546	0.1734972	0.0626124	0.1655790	0.5841271	0.2037183	0.6753191	0.4221148	0.3138645	0.5148685	0.5444054	0.7000823
0.2105420	0.0025964	0.7370603	0.8319621	0.2776794	0.7650432	0.6562886	0.7085774	0.3807530	0.8281437	0.1876377	0.5765187	0.7713970	0.6807316	0.7947690	0.6536581	0.1685866	0.5721959	0.7637710	0.6452482	0.6964790	0.6870051	0.6678397	0.7388680	0.7549098	0.4580023	0.0403223	0.1830916	0.1816925	0.6429790	0.3738942	0.1413756	0.3724689	0.1714004	0.7258443	0.3007474	0.4690427	0.1091704	0.3166564	0.1782798	0.0463589	0.1744805	0.5774945	0.1915049	0.8101112	0.3413007	0.3178220	0.6501812	0.5071323	0.5752856
0.1119933	0.0040749	0.7326788	0.7040013	0.2123953	0.7448601	0.7132933	0.7715836	0.4334943	0.6369514	0.1869953	0.4639403	0.7563443	0.8325084	0.5633966	0.7804423	0.1562145	0.4788648	0.7421923	0.6036142	0.6729406	0.5842757	0.6829387	0.6560437	0.6459491	0.5064024	0.0431756	0.1316429	0.1967267	0.6366047	0.2255409	0.1473374	0.4524784	0.1733975	0.7559119	0.2196401	0.4450619	0.1217399	0.1906117	0.1183388	0.0797918	0.1594039	0.5855099	0.1900590	0.6452948	0.3437835	0.2980925	0.6222168	0.4544576	0.7877598
0.1841196	0.0163184	0.5464175	0.6561277	0.3407848	0.6849146	0.7382924	0.7413575	0.3890429	0.7142608	0.1720846	0.4619283	0.9194727	0.7815394	0.7110129	0.7656456	0.2956481	0.5931891	0.7567753	0.7768832	0.7596784	0.8227825	0.8431666	0.7977897	0.7376795	0.5159662	0.0268421	0.1424638	0.2335031	0.6449786	0.2574420	0.1223361	0.3396698	0.2181564	0.7746865	0.2461476	0.4954734	0.2330020	0.2755245	0.0597235	0.0899813	0.1595587	0.4417893	0.1972862	0.7520539	0.2951184	0.3154203	0.5013217	0.4838251	0.6686907
