YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.6003442	0.5174328	0.3332004	0.8624583	0.7833945	1.0000000	0.2587035	0.3561069	0.8719147	0.9096256	0.1160766	0.0435845	0.9017007	1.0000000	0.0577415	0.3459433	0.7685571	0.4401177	0.6419310	0.0000161	1.0000000	1.0000000	1.0000000	1.0000000	0.8808873	0.2574150	0.5863147	0.8113287	0.0005008	0.7381056	0.0856001	0.7291408	0.1533584	0.6198069	0.6715871	0.2173378	0.9411479	0.2185083	0.8857302	0.1360781	0.6723680	0.0710763	0.1497976	0.1014665	0.0967261	0.8415989	0.9895273	0.6517875	0.6791557	0.3313575
0.4003303	0.7742480	0.1712999	0.8611291	0.6686546	0.7232342	0.3725981	0.1285795	0.8481878	0.9051787	0.1024106	0.2419688	1.0000000	0.9143389	0.0014599	0.2840372	0.9761065	0.1892044	0.7390891	0.0174638	0.9853069	0.8729847	1.0000000	0.4927777	1.0000000	0.3245339	0.6691663	0.7360589	0.0066803	0.6431672	0.0857394	0.5998070	0.0478995	0.2711790	0.8722577	0.4939829	0.9784669	0.0567176	0.9332151	0.0475853	0.7267479	0.0493171	0.0883736	0.0384927	0.5543569	0.9677760	0.7759004	0.5347009	0.6053690	0.2496358
0.3946140	1.0000000	0.1655313	1.0000000	0.7455493	1.0000000	0.2708692	0.1541129	0.7194732	0.9003802	0.0720011	0.2189550	1.0000000	0.9566001	0.0571691	0.3999941	0.9858101	0.7115500	1.0000000	0.0000166	1.0000000	0.8481309	1.0000000	0.9804679	1.0000000	0.4247570	0.5863166	0.9992242	0.0064600	0.5307863	0.0752981	0.7412869	0.0511600	0.1967420	0.8769625	0.2417307	0.8988434	0.0781639	0.7701500	0.5952744	0.8431127	0.0530571	0.0362501	0.0112323	0.0390805	0.8044766	0.7325536	0.6515203	0.6456206	0.3429217
0.4903254	0.8159735	0.4763263	1.0000000	0.7455494	1.0000000	0.2137697	0.0514633	0.5147538	0.8456926	0.0720014	0.0508843	0.9175713	0.8566781	0.0576328	0.3999941	0.9890563	0.6430464	1.0000000	0.0453170	0.9894116	1.0000000	0.8424184	1.0000000	1.0000000	0.0822672	0.5096667	0.7926232	0.0064600	0.7381057	0.0752981	0.6252175	0.0450161	0.2971886	0.7636122	0.1351280	0.8035030	0.0781639	0.9110748	0.5562344	0.7385977	0.0530571	0.0756739	0.0477539	0.1308965	0.9930503	0.5326782	0.6200973	0.6456211	0.2584398
0.2873575	1.0000000	0.1054451	0.3696971	0.5142510	1.0000000	0.0260852	0.0757578	0.4484119	0.8556222	0.0720011	0.1398388	0.8917191	0.9925069	0.0578136	0.7270093	0.8999984	0.7371791	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0009384	0.5863138	0.9215448	0.0055884	0.7381056	0.4370027	0.0395396	0.0721611	0.3005783	0.7989003	0.0002619	0.9004868	0.1856328	0.6843331	0.2422293	0.8450378	0.2794669	0.0689139	0.0109730	0.3788515	0.8172682	0.9062662	0.4693269	0.5007733	0.0906584
0.2508233	1.0000000	0.1357856	0.8552646	0.7156470	1.0000000	0.1957109	0.1744266	0.9295089	0.8944674	0.0627298	0.1430793	1.0000000	0.8989904	0.0571691	0.4725689	0.9860839	0.6397852	0.9581031	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	0.7421535	0.0689512	0.7706992	0.9983466	0.0066930	0.7892278	0.0863658	0.4993977	0.1371906	0.2052226	0.9650821	0.1068555	0.9872930	0.2966986	0.8981309	0.5839111	0.7793380	0.0723241	0.1497976	0.0115350	0.1640761	0.7628717	0.7864402	0.5306735	0.6823996	0.1888438
0.4854189	0.8243568	0.1499111	1.0000000	0.7455493	1.0000000	0.2708692	0.0449811	0.8451288	0.7711118	0.0837569	0.2171558	0.7550227	1.0000000	0.0592122	0.3999941	0.9510955	0.2937957	1.0000000	0.0000193	0.4088347	0.9331088	0.9467460	0.8860041	0.9750466	0.3480548	0.6474129	0.9992242	0.0003761	0.6578384	0.0096750	0.8756682	0.0276832	0.2912785	0.7935216	0.2417342	0.1991937	0.1954498	0.8504888	0.4573598	0.7408003	0.0530571	0.1630716	0.0465807	0.4598149	0.9944803	0.9877033	0.6599217	0.6456204	0.5881056
0.3946140	1.0000000	0.5024733	1.0000000	0.7457291	0.6785069	0.0744291	0.0936894	0.8309664	0.9129160	0.0788571	0.2388945	1.0000000	1.0000000	0.0010174	0.2925058	0.9772242	0.5054784	0.8964174	0.0453741	0.9607334	0.8748348	1.0000000	0.7810800	0.9045810	0.0154043	0.5863147	0.8221524	0.0064600	0.5733893	0.0752981	0.9040334	0.1371906	0.1967420	0.8550241	0.2930791	0.9127111	0.0624727	0.7702075	0.2290432	0.7796825	0.0530571	0.0435240	0.0117473	0.4548726	0.3739919	0.8310477	0.7587709	0.6457102	0.2026252
0.3946140	1.0000000	0.2154651	0.6816513	0.6646677	1.0000000	0.2992044	0.3371298	0.7494562	0.8735984	0.0720011	0.1189609	0.7844882	1.0000000	0.0588300	0.4802141	0.9998855	0.3277026	1.0000000	0.0453170	1.0000000	0.9957786	0.7216248	1.0000000	1.0000000	0.2029161	0.5026430	0.9950977	0.0073067	0.8427089	0.1186266	0.6477104	0.0814894	0.1361770	0.8769625	0.3761869	0.9872930	0.1191854	0.9620815	0.2193194	0.7783011	0.1164918	0.2430034	0.0306497	0.1994222	0.8533361	0.9826264	0.6294923	0.6031053	0.4381804
0.8841851	0.2810512	0.7851947	1.0000000	0.7325865	0.9426501	0.2856944	0.2765517	0.4094641	0.8712601	0.0891611	0.0419748	0.8848860	0.8319594	0.0018489	0.2635189	0.9338648	0.5792587	1.0000000	0.0000191	1.0000000	0.7443383	1.0000000	0.8241525	0.9067310	0.1436802	0.6872337	0.9992299	0.0064600	0.3529726	0.0752981	0.6252158	0.0725637	0.9123063	0.3963738	0.2722003	0.8383048	0.1538685	0.8926198	0.5717431	0.7191214	0.0297550	0.0340359	0.4402514	0.2509883	0.8907342	0.9797433	0.6664471	0.6393008	0.5050978
