YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.3655974	1.0486016	0.1386838	1.0533945	0.8596692	1.0014122	0.2529376	0.0358511	0.6980341	0.8802161	0.0908993	0.2121867	0.9568212	1.1342618	0.0737283	0.4008159	0.9350450	0.3196024	0.9250713	0.0831545	0.5025360	1.0252242	1.0186596	1.0874862	0.9717754	0.1698281	0.6795078	1.0566965	0.0063120	0.6888383	0.0785308	0.8076212	0.1340749	0.1983209	0.8660476	0.2798654	1.0169312	0.0997164	0.9095491	0.3756235	0.7847913	0.0684145	0.1593975	0.0300187	0.4585373	0.8915880	1.0278030	0.5998534	0.8103094	0.2424653
0.3686901	1.0159538	0.2723226	1.0655367	0.8268576	0.9737166	0.2335272	0.1405452	0.6675006	0.8993258	0.0775443	0.2151869	1.0656289	1.0495208	0.0573640	0.4008591	1.0550647	0.6486985	1.0407311	0.0564328	1.0441811	0.4996787	0.9922351	1.0360438	1.0464346	0.0887521	0.6117901	1.0009754	0.0049618	0.0657971	0.0891706	0.7145516	0.1420138	0.2020364	0.8690763	0.1440368	0.9496060	0.0977779	0.8244894	0.3182204	0.8309467	0.0471567	0.1785651	0.0415113	0.2729544	0.9034444	1.0274179	0.6989103	0.7659959	0.2388199
0.4004334	0.9860641	0.1238966	1.0397656	0.7465443	0.9047765	0.2480311	0.0689074	0.6121703	0.8240273	0.0541040	0.2415349	0.9194565	0.9457308	0.0655146	0.4101127	0.9395487	0.6037083	1.0129921	0.0513516	1.0144291	1.0158412	0.5097930	0.9779066	1.0324394	0.1255352	0.3050502	0.9161987	0.0061960	0.7502761	0.0803061	0.7859322	0.1557137	0.2015134	0.8542936	0.1988775	0.9637636	0.1142191	0.8976141	0.3247762	0.8194927	0.0473238	0.8096052	0.0348639	0.2511842	1.0276717	0.9550796	0.6263974	0.7444191	0.1982798
0.4110142	0.9864286	0.3046317	1.0946678	0.7287892	0.9823488	0.3024727	0.1301369	0.6580460	0.8364685	0.1116523	0.1970532	1.0055982	0.9899464	0.0558796	0.3445271	0.9413518	0.5537149	1.0006178	0.0633468	0.9869730	1.0385095	1.0237571	0.4949114	1.0359999	0.1449866	0.6736099	1.0144822	0.0042175	0.7872335	0.0777479	0.7427841	0.1373465	0.1958889	0.8835589	0.3792645	0.9748894	0.1001211	0.8355752	0.3268214	0.7860217	0.0510754	0.1525604	0.0491881	0.3231037	1.0195674	0.9503151	0.6439535	0.7396620	0.2100667
0.3604536	0.9889410	0.4214748	0.9801454	0.7643733	1.0917623	0.2382145	0.5037498	0.6536089	0.8902811	0.3143619	0.2405698	1.0341679	1.0375595	0.0617410	0.3866106	0.8435479	0.5751599	0.9709174	0.0361845	1.0097502	0.9814952	0.9350312	1.0663139	0.5039196	0.1423715	0.6562725	1.0577863	0.0118465	0.6554642	0.0568604	0.7812871	0.1551280	0.1922512	0.9363002	0.2032112	1.0216455	0.1206866	0.8690675	0.3033404	0.7487220	0.0530691	0.1559496	0.0288199	0.4711887	0.7452932	1.0147191	0.6835941	0.7568618	0.1860768
0.4068810	1.0067360	0.1200355	1.0430934	0.8512514	1.0026983	0.2348911	0.0701458	0.6764251	0.9593954	0.1153640	0.2120064	0.9585046	1.0833429	0.0524484	0.3707323	0.9115844	0.5898792	1.1258662	0.0471188	0.9593046	1.0034192	1.0961016	0.9332916	0.9517447	0.0518582	0.6754810	0.9823254	0.0020417	0.7009872	0.0772168	0.8258680	0.1597367	0.1925345	0.8253287	0.2245329	1.0067745	0.0844310	0.7807225	0.3349365	0.8521015	0.0595789	0.1784599	0.0317378	0.3668141	1.1149131	0.8858383	0.6670338	0.7647516	0.1975034
0.4442166	1.0398489	0.1654781	0.9825446	0.7201254	0.9522642	0.3405490	0.1292250	0.7489466	0.9067391	0.0645174	0.1949375	1.0231715	1.0353318	0.0761539	0.3779464	0.9597084	0.6252743	1.0136378	0.0531624	1.0216939	0.9963176	1.1151856	1.0157026	0.9436433	0.2010895	0.3632138	0.9983295	0.0078435	0.8225041	0.0648974	0.8149177	0.1407848	0.2111862	0.8346513	0.3244137	0.9400963	0.1166473	0.8181878	0.3042474	0.8952784	0.0541489	0.1630824	0.0210378	0.2823965	1.0489067	0.9973293	0.7343265	0.6759714	0.2493135
0.3716201	1.0192040	0.1508722	1.1234831	0.7976972	1.0804850	0.3016382	0.0553853	0.7225334	0.8876467	0.0790048	0.2237009	0.9563808	1.0684084	0.0655374	0.4056542	0.9788567	0.5954133	0.9921934	0.0475630	1.0496382	1.0478236	0.9477869	0.9690596	1.0260478	0.1734096	0.7437051	0.5124227	0.0108772	0.7125856	0.0580730	0.7803910	0.1333172	0.2185975	0.8565938	0.3361948	0.9506916	0.0852703	0.7500061	0.3244386	0.7884523	0.0654978	0.1569175	0.0324264	0.2840734	0.9272721	1.0668955	0.6790965	0.7077424	0.2028829
0.3957757	0.9214251	0.2650671	0.9888863	0.7905636	1.0253989	0.2793527	0.0848028	0.7205558	0.8899180	0.0596764	0.2072388	1.0179760	1.0524853	0.0503782	0.3981239	0.9493747	0.5819833	1.0551314	0.0586632	1.0154724	1.0293143	1.0264166	1.0423406	0.9880734	0.1464811	0.6658273	1.0326055	0.0037958	0.7236984	0.0710382	0.8086213	0.1090079	0.2024752	0.8380646	0.2720183	1.0510354	0.1083598	0.8413678	0.2998181	0.7644245	0.0697368	0.1269244	0.0307651	0.2629443	1.0027754	1.0214010	0.6288592	0.6846905	0.2352388
0.3934033	0.9710449	0.1429934	0.9258932	0.7544674	1.0187958	0.2522496	0.0657364	0.6264292	0.8723552	0.1265529	0.2569734	0.9753534	1.1163132	0.0615949	0.4318621	0.9007311	0.6406351	1.0483356	0.0500294	1.0434830	1.0352300	0.9708472	1.0998226	1.0662229	0.1364043	0.6222915	1.0072994	0.0076147	0.3468188	0.0790862	0.7032580	0.1489769	0.1886981	0.8688416	0.3242563	0.9013365	0.1015032	0.7711633	0.3102962	0.9087997	0.0667075	0.1581290	0.0356734	0.2464552	1.0039885	0.9921937	0.5995691	0.6820849	0.2166311
0.3849768	1.0191132	0.1277787	0.9078304	0.7682158	1.0060449	0.2867489	0.0872173	0.7382302	0.8791853	0.0772128	0.2067889	1.0850084	0.9716498	0.0769604	0.4103727	1.0439517	0.6213854	0.9467398	0.0390063	1.0571843	1.0027831	0.9968553	0.9709788	0.9806484	0.1322811	0.6938387	1.0399575	0.0067466	0.6983172	0.0370892	0.7617790	0.1301376	0.1395855	0.9182666	0.2675693	0.9021992	0.0764725	0.7976805	0.2943912	0.8407890	0.0567937	0.1455750	0.0312175	0.3162395	1.0250110	0.9912382	0.6652968	0.6522052	0.1987439
