YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.4052817	0.6977298	0.4224922	1.0000000	0.9021339	1.0000000	0.0315543	0.5408789	0.9124289	0.9032721	0.1616649	0.0358181	1.0000000	0.7256346	0.0011952	0.3999941	0.5538832	0.4359654	0.6937153	0.0453170	0.7421706	1.0000000	1.0000000	0.6465308	0.7814189	0.1456351	0.6376050	0.9992242	0.0003726	0.8390578	0.0752981	0.7442452	0.1371906	0.3529281	0.8682718	0.3071457	0.9666210	0.2272341	0.9639091	0.1882642	0.8570318	0.0189841	0.0498412	0.0424544	0.1802341	0.6857303	0.9999939	0.6200973	0.7095769	0.3011388
0.2833078	1.0000000	0.3789825	0.7679306	0.9460433	1.0000000	0.2142867	0.0150850	0.8265581	0.7650023	0.0468256	0.0844213	0.7272418	1.0000000	0.0596286	0.3348783	0.8945960	0.3483182	0.6521462	0.0000148	0.7478285	1.0000000	0.8864588	1.0000000	1.0000000	0.3444974	0.7110657	0.9972611	0.0006946	0.8594722	0.0985566	0.4054256	0.2011089	0.2123073	0.9384765	0.2068847	0.9934646	0.0577442	0.8911576	0.0484273	0.8194767	0.0560951	0.0592164	0.0160569	0.4433082	0.9991419	0.9545256	0.4666806	0.7869348	0.4384294
0.3300129	1.0000000	0.4440790	0.5361025	0.6045953	1.0000000	0.1796977	0.8008495	0.6642362	0.7721539	0.1182545	0.2164510	0.7599238	1.0000000	0.0591447	0.6975492	0.6918715	0.8022034	1.0000000	0.0000161	0.9972217	0.6424273	1.0000000	1.0000000	0.8001672	0.0579913	0.5863136	0.9845425	0.0086358	0.1930337	0.1923278	0.4092128	0.0715983	0.2175882	0.9240166	0.1567827	0.9873480	0.1765302	0.9926530	0.0948087	0.8161554	0.2022672	0.0409626	0.0306497	0.1616812	0.5730493	0.9970954	0.3743297	0.6727430	0.1361073
0.3946140	1.0000000	0.5676008	1.0000000	0.8874060	1.0000000	0.2288790	0.2069967	0.7910289	0.8120923	0.0805204	0.2359535	1.0000000	0.7822750	0.0571691	0.3952667	0.9933418	0.5007322	1.0000000	0.0000149	1.0000000	1.0000000	0.7448138	1.0000000	0.9495209	0.0941544	0.5585749	0.9032815	0.0003778	0.7381067	0.0752981	0.8195333	0.1281241	0.1967420	0.8769625	0.1611371	0.9872930	0.2644803	0.9082553	0.3652744	0.9010386	0.0530571	0.1431918	0.0106419	0.4005480	0.9305135	0.9931822	0.6200985	0.8861241	0.3175611
0.6003367	0.5174329	0.3331151	0.8624583	0.7833946	1.0000000	0.2587032	0.3559711	0.8719145	0.9096254	0.1160746	0.0435849	0.9017008	1.0000000	0.0577415	0.3459408	0.7685597	0.4401181	0.6419310	0.0000162	1.0000000	1.0000000	1.0000000	1.0000000	0.8808874	0.2574135	0.5863161	0.8113288	0.0005008	0.7381058	0.0856001	0.7291485	0.1533583	0.6198050	0.6720231	0.2173355	0.9411484	0.2185072	0.8857353	0.1360802	0.6723689	0.0710762	0.1497976	0.1014658	0.0967271	0.8419695	0.9895276	0.6517890	0.6791566	0.3313575
0.4003300	0.7742480	0.1712637	0.8611291	0.6686546	0.7232342	0.3725973	0.1285720	0.8481873	0.9051784	0.1024104	0.2419686	1.0000000	0.9143389	0.0014599	0.2840370	0.9761066	0.1892046	0.7390891	0.0174638	0.9853069	0.8729855	1.0000000	0.4927777	1.0000000	0.3245284	0.6691663	0.7360589	0.0066803	0.6431933	0.0857394	0.5998100	0.0478995	0.2711789	0.8722821	0.4939757	0.9784669	0.0567175	0.9332169	0.0475859	0.7267479	0.0493171	0.0883736	0.0384927	0.5543569	0.9677926	0.7759024	0.5347013	0.6053711	0.2496358
0.3946140	1.0000000	0.1655247	1.0000000	0.7455493	1.0000000	0.2708690	0.1541128	0.7194730	0.9003779	0.0720011	0.2189546	1.0000000	0.9566002	0.0571691	0.3999941	0.9858101	0.7115518	1.0000000	0.0000166	1.0000000	0.8481396	1.0000000	0.9804679	1.0000000	0.4247559	0.5863194	0.9992242	0.0064600	0.5310803	0.0752981	0.7412868	0.0511600	0.1967420	0.8769625	0.2417288	0.8988434	0.0781639	0.7701544	0.5952680	0.8431127	0.0530571	0.0362502	0.0112323	0.0390813	0.8044775	0.7325539	0.6515204	0.6456214	0.3429217
0.4903089	0.8159737	0.4763256	1.0000000	0.7455494	1.0000000	0.2137694	0.0514633	0.5147539	0.8457016	0.0720014	0.0508833	0.9175714	0.8566792	0.0576328	0.3999941	0.9890563	0.6430381	1.0000000	0.0453170	0.9894121	1.0000000	0.8424189	1.0000000	1.0000000	0.0822669	0.5097036	0.7926245	0.0064600	0.7381067	0.0752981	0.6252341	0.0450160	0.2971852	0.7641538	0.1351279	0.8035035	0.0781639	0.9110728	0.5562219	0.7385993	0.0530571	0.0756687	0.0477534	0.1309006	0.9930499	0.5326785	0.6200985	0.6456229	0.2584394
0.2873575	1.0000000	0.1054451	0.3696971	0.5142513	1.0000000	0.0260849	0.0757578	0.4484090	0.8556233	0.0720011	0.1398389	0.8917191	0.9925069	0.0578136	0.7269962	0.8999984	0.7371783	1.0000000	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0009383	0.5863144	0.9215485	0.0055884	0.7381057	0.4370021	0.0395645	0.0721611	0.3005783	0.7988955	0.0002619	0.9004868	0.1856258	0.6843597	0.2422337	0.8450379	0.2794661	0.0689139	0.0109730	0.3788515	0.8172682	0.9062662	0.4693301	0.5007842	0.0906584
0.2508234	1.0000000	0.1357371	0.8552646	0.7156470	1.0000000	0.1957107	0.1744053	0.9295088	0.8944670	0.0627292	0.1430792	1.0000000	0.8989905	0.0571691	0.4725667	0.9860840	0.6397856	0.9581031	0.0453170	1.0000000	1.0000000	1.0000000	1.0000000	0.7421536	0.0689503	0.7706983	0.9983466	0.0066930	0.7892273	0.0863658	0.4994059	0.1371906	0.2052226	0.9650742	0.1068544	0.9872930	0.2966975	0.8981318	0.5839103	0.7793380	0.0723240	0.1497976	0.0115350	0.1640750	0.7629066	0.7864403	0.5306746	0.6824004	0.1888438
