YKL020C	YCR096C	YCR040W	YPR199C	YHR006W	YJL056C	YCL066W	YLR013W	YCL067C	YPL248C	YCR041W	YDR008C	YCR107W	YNL339C	YDR103W	YBR040W	YDR007W	YNL105W	YCR039C	YCL065W	YKL209C	YLR080W	YML065W	YMR135WA	YLR397C	YJR161C	YKL178C	YLR374C	YPL187W	YLR082C	YGR296W	YBL109W	YBL112C	YMR086CA	YGR103W	YJR044C	YEL057C	MEL1	YCR083W	YMR087W	YDR210WD	YJL055W	YNL337W	YDR006C	YML048WA	YGR173W	YFL002WA	YHR091C	YGL089C	YAL049C
0.6147788	0.0043869	0.4977341	0.6015733	0.6572875	0.7030226	0.3051838	0.7318419	0.1832978	0.6008776	0.2968535	0.7450000	0.6838811	0.2256508	0.5493275	0.0206238	0.5900773	0.6166795	0.5937761	0.6524119	0.3156951	0.4169951	0.4512392	0.0448676	0.3927600	0.5549370	0.7022493	0.0062397	0.0000000	0.6579927	0.2766532	0.4079403	0.0717598	0.0907195	0.3980749	0.3030148	0.4147459	0.0541158	0.3945728	0.2039272	0.2015589	0.0720144	0.3217253	0.5693884	0.5661246	0.0409837	0.4726349	0.0500470	0.5438450	0.3853559
0.6252561	0.0120300	0.3781368	0.7138471	0.6293916	0.7385521	0.2046490	0.7444286	0.1345448	0.6263069	0.3340923	0.8070044	0.6235989	0.1822626	0.6260416	0.0114665	0.5676089	0.8131031	0.4996860	0.5929940	0.3329515	0.5130919	0.5838294	0.0332894	0.4247811	0.4844925	0.7310047	0.0047895	0.1938515	0.0000000	0.3272170	0.2538209	0.0305192	0.0573410	0.3421989	0.3745492	0.4433991	0.0609113	0.5569459	0.1400410	0.3280564	0.1172442	0.2952282	0.6400913	0.4820246	0.0192861	0.5279135	0.0567501	0.4754800	0.5137030
0.6324194	0.0061373	0.4161571	0.6587199	0.7915059	0.7948735	0.3223128	0.7060043	0.1885148	0.7627662	0.3130333	0.6987415	0.5274726	0.1839990	0.6303016	0.0125460	0.5990091	0.8055984	0.5596217	0.6313984	0.2642641	0.4186975	0.4356688	0.0412272	0.4045371	0.5683073	0.7162154	0.0176485	0.2078329	0.7115447	0.0000000	0.3348313	0.0304531	0.0181591	0.3688556	0.3613328	0.3852976	0.0509836	0.4178595	0.1357168	0.3014452	0.0874605	0.2775938	0.6221907	0.5124404	0.0395712	0.5040145	0.0470125	0.4706083	0.5359511
0.7594074	0.0137495	0.4555134	0.6671151	0.6445409	0.8491715	0.2946174	0.6408662	0.1796015	0.6697463	0.2837314	0.5165384	0.6118028	0.1899334	0.5883223	0.0211558	0.5912397	0.6441219	0.5038390	0.7143971	0.3190552	0.4778346	0.4593728	0.0558345	0.4060798	0.5706471	0.6692161	0.0081838	0.1790580	0.6151938	0.3698954	0.0000000	0.0384517	0.0342385	0.4708384	0.2643968	0.4388958	0.0466280	0.3996982	0.1304432	0.2947963	0.1103616	0.2958722	0.7389727	0.5713062	0.0166249	0.4492870	0.0561530	0.5404839	0.4808829
0.6546530	0.0042962	0.4284752	0.5328498	0.6253870	0.6948509	0.2937935	0.5623937	0.1332982	0.7833828	0.1959479	0.7927520	0.6213122	0.1612801	0.4854740	0.0117165	0.6418688	0.6630574	0.5834115	0.6387024	0.3116327	0.5713176	0.4762686	0.0410522	0.5026144	0.6340472	0.7421384	0.0047344	0.2013325	0.6074751	0.2415320	0.2591807	0.0000000	0.0276309	0.3704670	0.2453790	0.4173908	0.0875597	0.4612007	0.1258230	0.2431396	0.0846323	0.2434481	0.6231094	0.5412763	0.0239159	0.4906232	0.0692193	0.4676456	0.6526499
0.6584682	0.0290050	0.4087279	0.6412420	0.5847644	0.6568894	0.2294305	0.6098895	0.1418060	0.6588149	0.3397779	0.7055048	0.5953608	0.2092787	0.4688468	0.0099405	0.5944640	0.8026082	0.4999259	0.6276766	0.2461413	0.4556186	0.4814405	0.0706860	0.5373972	0.5098389	0.6806787	0.0142081	0.1989667	0.6698855	0.1734221	0.3293300	0.0264886	0.0000000	0.3286215	0.2326577	0.4298213	0.0342468	0.4266189	0.1440237	0.2979658	0.0495618	0.2026392	0.6519932	0.6028400	0.0370921	0.5339593	0.0203906	0.4011867	0.5301814
0.6501736	0.0136560	0.4579370	0.6803750	0.6749041	0.6117689	0.2796472	0.7108391	0.1324639	0.7001582	0.2864732	0.7705777	0.6435029	0.2108833	0.5334436	0.0097049	0.6082809	0.6740443	0.5949210	0.6309532	0.2887092	0.5469849	0.5376492	0.0405992	0.4659859	0.6742294	0.6870740	0.0104375	0.1899193	0.5666434	0.3148287	0.3481283	0.0507090	0.0244650	0.0000000	0.3451521	0.3821813	0.0472630	0.5207795	0.1564052	0.2195839	0.0878677	0.2802979	0.5713713	0.5974676	0.0245050	0.5567140	0.0503919	0.4537532	0.4531837
0.7303063	0.0204054	0.5070539	0.7275937	0.8399696	0.7781492	0.2930957	0.7860369	0.1542542	0.6326721	0.2647035	0.7002411	0.7284144	0.1755805	0.4854131	0.0077847	0.6374696	0.7875502	0.4831271	0.6208645	0.3671942	0.4090643	0.5795425	0.0387459	0.3544568	0.4509624	0.6849770	0.0076093	0.1938492	0.6991253	0.2805269	0.3444765	0.0212239	0.0171737	0.3153381	0.0000000	0.5506806	0.0345482	0.4152017	0.0920526	0.2580934	0.0533357	0.3092937	0.6273203	0.6252879	0.0587415	0.4784510	0.0673979	0.4648695	0.5332317
0.6526045	0.0049091	0.4536171	0.6740178	0.5451093	0.6314876	0.3191760	0.6840682	0.1663465	0.5093114	0.2878550	0.6182190	0.5865009	0.2031272	0.6283483	0.0049878	0.6310331	0.6128636	0.6323633	0.5798612	0.3358297	0.3676007	0.4490896	0.0420402	0.4202370	0.5649136	0.6721785	0.0097083	0.3002852	0.6087362	0.3082812	0.3406020	0.0359226	0.0509306	0.3336084	0.3656048	0.0000000	0.0777326	0.4477287	0.1163108	0.2068183	0.0754801	0.3006564	0.5658158	0.5533643	0.0357973	0.4599220	0.0624115	0.4944207	0.5173976
0.6223443	0.0099186	0.4783811	0.7732852	0.6821074	0.7236645	0.3060132	0.6914282	0.1390841	0.7517637	0.3452797	0.8335462	0.5853131	0.2048375	0.5026890	0.0019251	0.6627978	0.6596426	0.5188222	0.5451020	0.2844329	0.3531963	0.3770551	0.0485604	0.4559280	0.4964149	0.6952134	0.0050196	0.1932914	0.6259475	0.2834090	0.4311641	0.0377807	0.0172710	0.3439071	0.2922495	0.4232365	0.0000000	0.4451488	0.1015956	0.2893362	0.0886249	0.3358651	0.7021517	0.5288305	0.0083108	0.4367215	0.0707956	0.5106810	0.5275116
0.6638891	0.0103021	0.3903605	0.5463829	0.6660639	0.6060169	0.2097345	0.7207657	0.1240549	0.6540096	0.3601919	0.6178792	0.7142201	0.1532284	0.5511512	0.0193006	0.6614053	0.5935186	0.5099254	0.7269285	0.2853459	0.4388476	0.3732262	0.0353342	0.4155577	0.7599014	0.7388753	0.0508878	0.1974144	0.6724847	0.2504923	0.3350386	0.0385051	0.0444182	0.2422242	0.2850927	0.3775803	0.0551019	0.0000000	0.1313876	0.2788622	0.1034369	0.2988352	0.7005728	0.4902262	0.0307822	0.5305017	0.0496112	0.5189881	0.5287614
0.6276589	0.0072741	0.5237970	0.6697006	0.5927206	0.6202780	0.2012738	0.5623369	0.1200346	0.7613676	0.3516291	0.6376499	0.6269716	0.1712079	0.5490438	0.0029782	0.5584118	0.7093219	0.6676817	0.7229961	0.2706911	0.5866102	0.3907141	0.0296449	0.3997002	0.6497012	0.6066591	0.0049571	0.2336740	0.7746286	0.2509860	0.3070764	0.0309391	0.0654216	0.4307640	0.2320905	0.5007829	0.0480699	0.5341863	0.0000000	0.2963254	0.0809564	0.2932797	0.7479520	0.5788907	0.0169840	0.4793341	0.0510017	0.4272528	0.4554452
0.7783495	0.0112506	0.4439866	0.9191201	0.7752951	0.7959416	0.3087501	0.6691430	0.1349762	0.6239462	0.3557841	0.6374074	0.4849860	0.2272875	0.6982132	0.0095937	0.6916022	0.6281209	0.5880104	0.5801633	0.2733193	0.3941525	0.4353498	0.0440661	0.3731373	0.4539596	0.6848285	0.0163633	0.2377715	0.5877040	0.3291144	0.3333625	0.0306596	0.0429426	0.4349381	0.3546399	0.4499688	0.0354072	0.4326279	0.1652154	0.0000000	0.1296099	0.3095977	0.5590312	0.4870110	0.0302181	0.4814688	0.0567535	0.4658807	0.4406112
0.7105220	0.0085359	0.4619863	0.5867382	0.6418926	0.6885654	0.3518334	0.6559076	0.1261546	0.7164900	0.3097278	0.6127576	0.6523383	0.2786026	0.5865581	0.0255246	0.6002181	0.6266488	0.5477488	0.5525900	0.3049811	0.5291038	0.5066793	0.0399205	0.4832366	0.5436211	0.7421423	0.0075833	0.1808122	0.6431726	0.2339075	0.3274654	0.0241702	0.0403135	0.2850990	0.2237029	0.4134509	0.0675972	0.5587243	0.1690201	0.3061307	0.0000000	0.2388277	0.5321121	0.6230036	0.0395976	0.5106369	0.0639597	0.4646418	0.4039769
0.7648559	0.0146760	0.3931157	0.5887373	0.6668192	0.7815329	0.3372251	0.6465623	0.1668143	0.6079196	0.2898484	0.7211313	0.6049671	0.1692917	0.6560041	0.0033060	0.6941717	0.6423225	0.6780728	0.6110430	0.2613525	0.4578923	0.5025888	0.0683562	0.5155852	0.6892924	0.6357955	0.0138582	0.2429408	0.5768433	0.2960301	0.3174268	0.0462477	0.0653925	0.3411678	0.2956603	0.3636465	0.0409781	0.4179106	0.1405486	0.3325985	0.0681768	0.0000000	0.5521452	0.7757135	0.0423611	0.4559613	0.0948852	0.3831897	0.5300189
