YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.9522764	0.8636444	0.9694051	0.0639917	0.5792338	0.0991491	0.6822013	0.9533961	1.0000000	0.7462156	1.0000000	1.0000000	0.8508545	0.7055619	0.4363482	1.0000000	0.8492523	0.6010076	0.8860824	0.6522428	1.0000000	1.0000000	1.0000000	0.8542382	0.0484644	0.4343711	0.4213084	0.6267196	0.9999991	0.4277923	0.9112929	0.7850389	0.6152532	0.0744211	0.6507681	0.6829302	1.0000000	0.0956905	0.4134120	0.1994331	0.4070381	0.9698850	0.9996496	0.3711450	0.8839093	0.6184837	0.9420683	0.8837162	0.5231209	0.4082695
0.9520013	0.5953371	0.8095735	0.0019117	0.9605750	0.0884735	0.7958292	1.0000000	1.0000000	1.0000000	1.0000000	0.6151550	0.0560129	0.7546633	0.9984957	1.0000000	0.6619108	0.4978583	0.7108336	0.8284478	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.2949651	0.3955318	0.6867592	1.0000000	0.2583930	0.8220224	0.2602585	0.9993585	0.3828419	0.5912835	0.7399579	1.0000000	0.1089793	0.3891243	0.8828600	0.3507060	0.9652311	0.9996427	0.3386075	0.9919114	0.8092672	0.9685335	0.5864627	0.0030422	0.6141931
0.9995948	0.5385095	0.4249742	0.0645883	0.9856214	0.3237061	1.0000000	1.0000000	0.6472771	0.7309755	1.0000000	1.0000000	0.2407498	0.7731087	0.9490548	0.9590510	0.7930749	0.2948782	0.6667525	0.9121255	1.0000000	0.6851975	1.0000000	1.0000000	0.0485398	0.3286000	0.3822705	0.8228750	0.9134150	0.1942859	0.8178998	0.1525361	0.7649488	0.1439731	0.8491638	0.3721348	0.9912541	0.9016768	0.3180833	0.9194243	0.3260481	0.9029654	0.9892705	0.7760813	0.5239268	0.7585573	0.9792530	0.9158996	0.0368047	0.4614783
0.9999435	0.9449645	0.9806495	0.0642071	0.5282311	0.8089927	1.0000000	1.0000000	1.0000000	0.7047182	0.7506293	1.0000000	0.4461501	0.9799753	0.1803645	1.0000000	1.0000000	0.3758794	0.8409673	0.9705317	1.0000000	1.0000000	0.7983118	1.0000000	0.0719049	0.5070852	0.7771062	0.5460496	0.7552000	0.5148905	0.9789415	0.7684853	0.7622147	0.0997564	0.5909747	0.5484715	0.8792048	0.1927389	0.2977405	0.6883258	0.4070381	0.7788089	0.9996195	0.7428050	0.7535937	0.5729984	0.9988040	0.9574018	0.4130354	0.5215682
0.9522624	0.8915316	0.9661818	0.0692513	0.7288143	0.1653155	0.8663485	1.0000000	1.0000000	0.4683434	1.0000000	1.0000000	0.3851638	0.8903639	0.6457705	1.0000000	0.8285367	0.4880857	0.6771408	0.7708503	0.9519541	1.0000000	0.6688302	1.0000000	0.0592748	0.5723209	0.7300903	0.6273580	0.8070908	0.4335489	0.8674965	0.7719855	0.8126259	0.0439379	0.5682748	0.8048177	0.7036367	0.5839056	0.3029127	0.4896176	0.2892191	0.9044272	0.9895497	0.5724248	0.8803254	0.6265946	0.9996294	0.8781790	0.2698961	0.8821183
0.9999594	0.9999868	0.9929957	0.0593261	0.9738576	0.2329105	0.7893228	0.7444775	1.0000000	1.0000000	0.9176703	0.9736107	0.5328436	0.9501943	0.5819856	1.0000000	0.8310896	0.5709281	0.8247438	1.0000000	1.0000000	1.0000000	0.7783474	0.8158997	0.0763817	0.3765569	0.4964048	0.6435149	0.9999996	0.4282276	0.9206430	0.8156198	0.6975151	0.0911055	0.6246677	0.6639216	0.9148290	0.3996435	0.2259848	0.6495477	0.3003767	0.8337861	0.9996324	0.4027244	0.7313521	0.8270392	0.9997692	0.8874307	0.3442021	0.3599789
0.9987727	0.4112516	0.5803575	0.0016410	0.3588726	0.1185386	0.9118428	0.9484381	1.0000000	1.0000000	1.0000000	0.4949962	0.3969344	0.4004652	0.8462494	1.0000000	1.0000000	0.4880857	0.6771408	1.0000000	0.9947995	0.7944315	1.0000000	0.6682022	0.0479141	0.3039278	0.6687657	0.6927978	0.6685578	0.3357552	0.4105592	0.0421948	0.6796763	0.0582346	0.6783413	0.6386924	0.9070950	0.3299563	0.3393454	0.1963751	0.2977881	0.9612406	0.9995050	0.6007402	0.7782407	0.2467603	0.9418181	0.9035922	0.0440786	0.6240819
0.9999795	1.0000000	0.9740152	0.0012725	0.8570364	0.5270760	1.0000000	1.0000000	1.0000000	1.0000000	0.7769076	0.6504877	0.2882414	0.6765457	0.9230641	1.0000000	1.0000000	0.3740520	0.7189012	1.0000000	0.9616243	1.0000000	0.7962974	0.7668075	0.0733119	0.4655204	0.5039726	0.5508485	0.4380414	0.4965339	0.5139490	0.8338244	0.9605977	0.0778925	0.6790496	0.4807683	0.7953587	0.2862963	0.3249687	0.9411055	0.4070381	0.8133470	0.9895499	0.8500679	0.7960622	0.7032102	0.9409711	0.8763348	0.2281684	0.5833461
0.9999554	0.9999864	0.8816856	0.0593261	0.7460647	0.4950385	1.0000000	0.9289193	0.8673497	1.0000000	1.0000000	0.7248800	0.5017370	0.9596506	0.5251995	0.9876748	0.9406531	0.3585571	0.6740803	0.9322112	1.0000000	1.0000000	1.0000000	1.0000000	0.0479141	0.4114545	0.4634885	0.7780714	0.9999999	0.7737939	0.9607772	0.8156196	0.7939466	0.0853189	0.8239310	0.4612681	1.0000000	0.1128203	0.3632027	0.6284598	0.2408242	0.9609530	0.9996862	0.7657112	0.8511165	0.6383948	0.9407320	0.9518230	0.3299430	0.5223028
0.9998815	0.7382823	0.7517728	0.0037248	0.8883647	0.4800283	0.9930184	0.9218782	0.9611453	0.8003701	1.0000000	1.0000000	0.2504829	0.9645778	0.5522605	1.0000000	0.7805580	0.5212682	0.7331285	1.0000000	1.0000000	0.7473698	1.0000000	0.8075469	0.0307487	0.3565083	0.7596654	0.6725380	0.8242566	0.6053885	0.8782187	0.4821786	0.9251996	0.0958506	0.6234230	0.7535776	1.0000000	0.5755463	0.3203360	0.3866505	0.4070381	0.9713015	0.9894069	0.3583391	0.8657438	0.7184195	0.9419207	0.9250789	0.2246572	0.4226328
