YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.1420761	0.7156154	0.6592639	0.1020505	0.0005304	0.1426880	0.2777215	0.2217968	0.6002179	0.7928812	0.0281637	0.6439409	0.7711140	0.3904393	0.7317608	0.7361930	0.4715065	0.5394857	0.6902645	0.7618952	0.1340571	0.6146408	0.8357242	0.1569433	0.7004154	0.6301990	0.0374978	0.7088045	0.4906648	0.8122369	0.7880852	0.7413363	0.0559200	0.6306890	0.4489188	0.4921283	0.6591771	0.0003095	0.5545251	0.6863360	0.6999186	0.3842918	0.4300201	0.3233628	0.5468800	0.3505094	0.6185789	0.7416621	0.2664080	0.0014988
0.1833413	0.7794381	0.7832396	0.1224069	0.0017355	0.3434171	0.3568344	0.2555223	0.4352888	0.5099267	0.1275148	0.6375608	0.6909204	0.7594509	0.5618158	0.6834951	0.8285432	0.5771089	0.7208715	0.6567548	0.2301830	0.7288509	0.5766557	0.1447601	0.7871401	0.6513228	0.0018003	0.7290913	0.5915974	0.6970152	0.7018881	0.3790192	0.0562100	0.4116216	0.5181486	0.4973413	0.6848407	0.0154221	0.7086223	0.8487210	0.2859065	0.4113662	0.2572876	0.4756723	0.2044842	0.2312476	0.6856654	0.6579415	0.2774821	0.0127681
0.1952582	0.6027415	0.8292593	0.1633833	0.0822024	0.3013490	0.3266651	0.2248717	0.3899308	0.6565329	0.0525023	0.7349838	0.3679613	0.7230749	0.3245320	0.6562163	0.6500518	0.7270173	0.6849448	0.5620927	0.4622973	0.8679458	0.7550872	0.2447431	0.4901230	0.6142255	0.0555693	0.6348495	0.6502436	0.8353448	0.6907045	0.6202042	0.2409029	0.0530922	0.5218116	0.4541405	0.6460452	0.0424811	0.0493065	0.6547042	0.4301116	0.1911432	0.4021835	0.2365788	0.4773343	0.4179031	0.6630730	0.6233759	0.2439906	0.0740188
0.1241444	0.6615392	0.7312262	0.1333097	0.0182637	0.3424871	0.3545439	0.1640325	0.6320030	0.5373290	0.0412933	0.7913895	0.5949626	0.6340829	0.6041782	0.7060902	0.7341911	0.6199785	0.8650928	0.6652125	0.3788212	0.7590536	0.5691768	0.1900472	0.7630295	0.5576305	0.2481906	0.5385496	0.6124685	0.7552473	0.6765688	0.3508980	0.0489805	0.3670059	0.4115796	0.4948890	0.7872981	0.0000068	0.3101596	0.7654754	0.6351393	0.3184657	0.3580690	0.2504638	0.2347402	0.3124043	0.6418495	0.6268376	0.2125400	0.0236515
0.1848475	0.6763877	0.5470126	0.1034641	0.0632495	0.4959110	0.3863677	0.2656680	0.7199570	0.6727660	0.0633135	0.7012549	0.6967532	0.7534274	0.6667830	0.7338720	0.6281675	0.6843652	0.6717427	0.6036578	0.0634593	0.7388558	0.6708573	0.1473343	0.7222209	0.3004962	0.3300607	0.2999082	0.4406780	0.6240201	0.6090210	0.7331606	0.7319136	0.2483505	0.5070207	0.3987887	0.6684998	0.0294430	0.1088260	0.8032095	0.3625660	0.5022753	0.3671949	0.2112840	0.5350191	0.3412054	0.7746072	0.5741245	0.2936676	0.0070141
0.0431314	0.6999881	0.7753050	0.1272432	0.1098182	0.2267623	0.5508718	0.2440425	0.6464762	0.6790888	0.1644356	0.5217485	0.7296480	0.3562309	0.7127252	0.8438766	0.6036080	0.4936009	0.3780682	0.6486453	0.1793225	0.6685080	0.8860603	0.1093468	0.6536215	0.3268201	0.2001174	0.6778103	0.4924558	0.7619755	0.6595284	0.2707952	0.2870128	0.2408067	0.5275240	0.2914844	0.6791155	0.0158036	0.6006493	0.8876206	0.4247616	0.4038288	0.2853908	0.3694550	0.2588233	0.3650095	0.6724429	0.5968059	0.2493676	0.0111021
0.0688733	0.6437180	0.7491476	0.1344249	0.1057104	0.2015415	0.5298989	0.3632661	0.5394486	0.6489766	0.0337521	0.5748196	0.5942965	0.8702533	0.6197613	0.7128158	0.7667450	0.6707597	0.6796206	0.6432407	0.2856329	0.6569427	0.6960946	0.1191258	0.8095648	0.5844192	0.1177456	0.5736322	0.4813552	0.7242513	0.6375623	0.4922347	0.1565718	0.2664934	0.5232464	0.5590756	0.8396488	0.0320910	0.2859553	0.9664753	0.1319450	0.5153477	0.3926245	0.2886614	0.4410354	0.3963455	0.6805051	0.7205968	0.4755299	0.0026002
0.1802992	0.8023177	0.7681223	0.0398387	0.0908904	0.3205715	0.2722471	0.3539521	0.3530442	0.4648646	0.0666516	0.6259651	0.7058534	0.5784107	0.6936588	0.7143131	0.6289937	0.6643153	0.6569117	0.7133937	0.0549010	0.5169159	0.6400953	0.0900841	0.6610348	0.6488063	0.1744096	0.4999314	0.2044961	0.7531431	0.7900436	0.5947464	0.0120713	0.2684293	0.4719905	0.4663305	0.7632340	0.0264202	0.4228883	0.7757036	0.3018263	0.4283251	0.2218300	0.3479507	0.4793432	0.6106109	0.6385931	0.6625903	0.2494491	0.0032644
0.2475723	0.6493637	0.7307710	0.0980660	0.0534753	0.1594466	0.3112510	0.2392273	0.7769608	0.5976669	0.3888778	0.5774140	0.6780345	0.5105305	0.7218644	0.7824308	0.8815238	0.7084299	0.6352448	0.6354828	0.2051052	0.6677962	0.5808283	0.1988253	0.7142948	0.6959515	0.0718271	0.5102307	0.5221672	0.8234615	0.6561385	0.6682873	0.0380645	0.4679512	0.7230893	0.3648313	0.7115091	0.0179897	0.6778846	0.6075522	0.3259206	0.2230383	0.4897627	0.1021986	0.3230060	0.5526996	0.5809541	0.8326015	0.2936090	0.0110729
0.0571043	0.6837793	0.3711853	0.0824185	0.0806760	0.4330244	0.1243110	0.3431108	0.5235955	0.7463800	0.1412674	0.7562030	0.7387559	0.6648277	0.6819940	0.7407616	0.7251080	0.5264064	0.7323917	0.5974857	0.2017747	0.7350922	0.6517918	0.1245925	0.5755048	0.7903197	0.0878870	0.3979883	0.5345434	0.7553559	0.5732149	0.3810862	0.3149033	0.1715687	0.4940774	0.2870401	0.6133458	0.0006493	0.4389397	0.7618204	0.5236580	0.3152820	0.0830957	0.3809066	0.6129966	0.5567534	0.5837732	0.4979915	0.1672409	0.0122296
