YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2231447	0.9860310	1.0000000	0.1456427	0.0026761	0.2505247	0.4265534	0.3589425	0.7417371	1.0000000	0.0576316	0.8131177	0.9098470	0.5495532	0.8673260	0.9990724	0.7152566	0.8438511	1.0000000	0.9444740	0.2421343	0.9433912	0.9813071	0.2058872	1.0000000	0.8865203	0.0179609	0.8975191	0.7156481	0.9434346	0.9376126	0.9368548	0.0883572	0.7927029	0.6450892	0.4903139	0.9808988	0.0000014	0.7205572	0.9802680	0.8842419	0.5643744	0.5588059	0.3507357	0.7395895	0.4741697	0.9641741	0.9616123	0.4071579	0.0042899
0.2346832	0.9317839	1.0000000	0.1696717	0.0038389	0.3374360	0.5722592	0.3850388	0.7272817	0.8748936	0.2026152	0.9470156	0.8564503	1.0000000	0.7855264	0.9510486	1.0000000	0.6931111	1.0000000	0.7926288	0.3658036	1.0000000	1.0000000	0.1966421	0.9758241	0.9147304	0.0013006	0.8255092	0.7615637	0.9820594	0.9135252	0.5477448	0.0885096	0.5478664	0.6362391	0.6504092	0.9815479	0.0397905	0.8800842	0.9779281	0.3887326	0.6604739	0.3644847	0.6699747	0.3555394	0.3399955	0.9340913	0.9328430	0.3272700	0.0092595
0.2709752	0.9100058	0.9277147	0.1807750	0.1208340	0.3833555	0.5478901	0.3644874	0.6814787	1.0000000	0.1122828	1.0000000	0.5924964	0.9208037	0.4313375	0.9509683	0.9698563	1.0000000	1.0000000	0.7765245	0.7845575	1.0000000	0.7580216	0.3758584	0.6912587	0.7346217	0.1119307	0.7842478	0.9206910	0.9786150	0.9264229	0.8600424	0.2516979	0.0765105	0.6725966	0.6733452	0.9719881	0.0397905	0.0472908	0.9020084	0.6061164	0.2864271	0.5183699	0.3956865	0.6751948	0.5079088	0.8233914	0.8334107	0.3423842	0.1070884
0.1786294	0.9269993	0.9380652	0.1720340	0.0324909	0.3714060	0.5050751	0.2227250	0.7607543	0.6684378	0.0563712	1.0000000	0.8136490	0.9717437	0.7521445	0.9988759	0.9520366	1.0000000	1.0000000	0.6980144	0.3884746	0.9897790	1.0000000	0.1879923	0.9604396	0.9020809	0.2629570	0.6882748	0.8631810	0.9434266	0.9402630	0.5277457	0.0655499	0.4763000	0.6354739	0.6532597	0.9774127	0.0000012	0.5055433	0.9898360	0.8697076	0.4912023	0.5837940	0.4045771	0.3350000	0.4544644	0.9500773	0.8439568	0.3266802	0.0160589
0.2364088	0.8962364	0.7326061	0.1420914	0.1210310	0.7052917	0.5648486	0.3750370	1.0000000	0.8734102	0.1272304	1.0000000	1.0000000	1.0000000	0.8900834	0.9989081	0.8958313	1.0000000	1.0000000	0.8033641	0.0909483	1.0000000	1.0000000	0.1966421	1.0000000	0.4855390	0.3564589	0.4700881	0.5385010	0.9434279	0.9458910	0.9736402	0.9780291	0.4681724	0.6355075	0.4892703	0.9722888	0.0397905	0.1277752	0.9779281	0.5181276	0.6708947	0.5107095	0.2223923	0.5668528	0.4390546	0.9006094	0.6768448	0.3272701	0.0052272
0.1018012	0.9130954	1.0000000	0.1508124	0.1207912	0.1932353	0.7307385	0.2731469	1.0000000	0.9083620	0.2225739	0.6996910	1.0000000	0.6150845	0.8900835	0.9994479	0.7387842	0.6799733	0.5690747	0.9031197	0.2994033	1.0000000	1.0000000	0.1966421	1.0000000	0.4436748	0.2346597	0.9374565	0.7098902	0.9434501	0.9411002	0.5060071	0.3842422	0.3368912	0.7996899	0.3411487	0.9777258	0.0397905	0.7065287	0.9818150	0.6219615	0.4912023	0.3156231	0.3586720	0.2549744	0.5607858	0.9552769	0.8620416	0.3272706	0.0092957
0.0969560	0.9843924	1.0000000	0.1462997	0.1199409	0.3352917	0.7137080	0.3991196	0.9371385	0.8785119	0.0267825	0.7609825	0.8521463	1.0000000	0.7852033	0.9991192	1.0000000	0.9670949	0.7700464	0.9035762	0.3660054	0.9757059	0.9815460	0.2057653	1.0000000	0.8106721	0.1498059	0.8273982	0.7616899	0.9434365	0.9211526	0.6172065	0.2302095	0.5578851	0.6355660	0.7759850	0.9862264	0.0397907	0.5718786	0.9781671	0.1656613	0.5760186	0.4470568	0.4327330	0.5701117	0.5329170	0.8869872	0.9178312	0.6384596	0.0072143
0.1728040	0.9859113	1.0000000	0.0663527	0.1199252	0.4352751	0.3273161	0.4559397	0.5475433	0.6778283	0.1261829	0.9320000	1.0000000	0.8735426	0.9260686	0.9992819	0.8462316	0.9294187	1.0000000	0.7277727	0.0599771	0.8398614	1.0000000	0.1966421	1.0000000	0.8755968	0.1521738	0.7366238	0.1741343	0.9434432	0.9457532	0.7636959	0.0120758	0.3241622	0.6356120	0.6208751	0.9032919	0.0397918	0.5518875	0.9818646	0.4126936	0.4912023	0.3428321	0.4496538	0.8636224	0.8992969	0.8910913	0.7755996	0.3312409	0.0045594
0.2688178	0.9130950	1.0000000	0.1452232	0.1207913	0.2261943	0.5203737	0.3046721	1.0000000	0.9308146	0.5627312	0.7520985	1.0000000	0.6588520	0.8900834	0.9993628	1.0000000	1.0000000	0.9379158	0.9466587	0.2525506	0.9648026	0.7403458	0.3255107	1.0000000	0.9513374	0.1079808	0.6928515	0.8256020	0.9434465	0.9105264	0.9494034	0.0846611	0.6006335	0.9283101	0.5659949	0.9660865	0.0397907	0.9048284	0.8892308	0.4375881	0.2710388	0.4818775	0.1614073	0.4345888	0.7986451	0.8159862	0.9632503	0.3232322	0.0093850
0.1061055	0.9612351	0.6337111	0.1292132	0.1201911	0.6470226	0.2138273	0.4439410	0.7275163	0.9265678	0.1891689	0.9462859	1.0000000	1.0000000	0.9028427	0.9990598	1.0000000	0.7620497	1.0000000	0.9030392	0.3009766	1.0000000	1.0000000	0.1474218	1.0000000	0.8914309	0.1525587	0.5530762	0.7133553	0.9434341	0.9179365	0.5904793	0.3120808	0.1919868	0.7697119	0.4522213	0.9010431	0.0000011	0.5366364	0.9796409	0.6598237	0.5340720	0.1109829	0.5316354	0.9488008	0.6992668	0.8910913	0.6334281	0.3245645	0.0047012
